PATHWAY;FREQUENCY;GENES
ath00230;101;"1.1.1.205;1.17.1.4;2.1.2.2;2.1.2.3;2.4.2.8;2.7.1.25;2.7.1.40;2.7.4.3;2.7.4.6;2.7.4.8;2.7.6.1;2.7.7.7;3.1.3.5;3.5.1.116;3.5.1.5;3.5.2.5;3.5.3.26;3.5.3.9;3.5.4.4;3.6.1.13;3.6.1.15;3.6.1.21;3.6.1.29;3.6.1.5;4.1.1.21;4.3.2.2;5.4.2.2;6.3.2.6;6.3.3.1;6.3.4.13;6.3.4.4;6.3.5.2;6.3.5.3;ADK2;AMPD;APS2;APT1;ASE2;NRPB1;PNP1;R00086;R00087;R00089;R00125;R00126;R00128;R00150;R00182;R00184;R00185;R00191;R00322;R00328;R00333;R00336;R00426;R00434;R00720;R00723;R00961;R01053;R01057;R01131;R01134;R01228;R01232;R01234;R01423;R01561;R01562;R01618;R01677;R01690;R01769;R01770;R01856;R02089;R02107;R02143;R02148;R02646;R02720;R02805;R02935;R02937;R03409;R03531;R03537;R03925;R05135;R06975;R09514;R10235;R10908;R11617;R11633;R11634;RIR1;RSH1C;TTHL;URIC"
ath00520;85;"1.1.1.22;1.1.1.271;1.6.2.2;2.3.1.4;2.4.1.43;2.4.2.24;2.6.1.16;2.7.1.4;2.7.1.43;2.7.1.44;2.7.1.46;2.7.1.52;2.7.7.12;2.7.7.23;2.7.7.27;2.7.7.64;2.7.7.9;3.13.1.1;3.2.1.52;3.2.1.55;4.1.1.35;4.2.1.47;4.2.1.76;5.1.3.18;5.1.3.2;5.1.3.5;5.3.1.8;5.4.2.2;5.4.2.3;5.4.2.8;BXL4;CHI5;CYC1;G6PI;GAE1;HXK1;R00421;R00505;R00765;R00880;R01115;R01200;R01204;R01207;R01803;R01804;R01811;R02059;R02087;R02189;R02335;R02426;R02630;R02738;R03317;R03391;R03396;R03397;R04215;R04265;R04266;R04529;R05199;R08559;R08711;R09009;R09600;R09697;R09825;R09834;R09841;R09842;R09843;R09942;R10099;R10100;R10140;R10141;R10182;R10187;R10266;R10304;R10460;R10514;R11785"
ath00240;62;"1.3.1.2;1.3.5.2;2.1.3.2;2.4.2.10;2.7.1.21;2.7.4.14;2.7.4.22;2.7.4.6;2.7.4.9;2.7.7.7;3.1.3.5;3.2.2.3;3.5.1.6;3.5.2.2;3.5.2.3;3.5.4.12;3.6.1.12;3.6.1.23;3.6.1.5;4.2.1.70;6.3.4.2;6.3.5.5;NRPB1;PNP1;R00140;R00155;R00159;R00510;R00515;R00568;R00969;R00976;R01411;R01413;R01569;R01664;R01666;R01869;R01877;R02023;R02095;R02102;R02139;R02296;R02330;R02370;R02484;R02806;R03315;R03538;R03929;R07307;R07629;R10777;R10778;R11026;R11323;R11635;R11636;RIR1;UPP;WRK71"
ath00051;55;"1.1.1.271;2.7.1.11;2.7.1.28;2.7.1.4;2.7.1.52;2.7.1.90;3.1.3.11;3.6.1.21;4.1.2.13;4.2.1.47;5.3.1.1;5.3.1.5;5.3.1.8;5.4.2.8;CYC1;DHSO;F26;HXK1;MAN5;R00865;R00868;R00870;R00879;R02071;R02167;R02261;R02262;R02263;R02437;R02703;R02704;R02730;R02731;R02925;R03014;R03163;R03232;R03241;R03706;R03772;R03774;R03942;R05607;R05768;R05790;R05816;R05820;R07346;R08692;R08693;R08926;R09666;R10788;R11339;R11620"
ath00500;54;"2.4.1.1;2.4.1.14;2.4.1.18;2.4.1.21;2.4.1.242;2.4.1.25;2.7.1.4;2.7.7.27;2.7.7.9;3.1.3.12;3.1.3.24;3.2.1.1;3.2.1.20;3.2.1.26;3.2.1.4;3.2.1.68;3.6.1.21;5.4.2.2;BAM3;BGL42;E13B;G6PI;HXK1;R00303;R00308;R00803;R00807;R00811;R00837;R00838;R00839;R00949;R01555;R01660;R01718;R01823;R02120;R02727;R02780;R03118;R03122;R03526;R04111;R04194;R10486;R11172;R11260;R11306;R11308;R11309;R11310;RIP4;SUS4;TRE1"
ath00630;53;"1.1.1.79;1.17.1.9;1.4.7.1;2.3.1.9;2.3.3.1;2.3.3.9;2.7.1.31;3.1.3.18;3.5.1.10;3.5.1.49;4.1.3.1;6.3.1.2;ACS;CATA2;CHSY;GGT2;GLO5;GLYM1;HPR1;MDHM1;R00273;R00339;R00470;R00473;R00474;R00476;R00477;R00518;R00525;R00526;R00653;R00717;R01180;R01256;R01333;R01393;R01559;R01749;R01781;R02509;R02544;R02545;R02546;R02547;R03040;R03127;R03146;R06180;R09291;R09292;R09293;R09979;R10612"
ath00360;51;"1.1.1.157;1.13.11.27;1.14.14.91;1.4.3.21;2.1.1.104;2.6.1.5;2.6.1.9;3.5.1.4;4.1.1.28;4.3.1.24;6.2.1.12;AAT3;R00686;R00690;R00693;R00698;R00699;R00829;R01374;R01424;R01582;R02252;R02450;R02452;R02539;R02576;R02603;R02611;R02612;R02613;R03369;R03709;R03903;R04376;R05841;R06782;R06783;R06784;R06785;R06786;R06787;R06788;R06789;R07222;R07294;R09820;R09836;R09837;R09838;R09839;R11918"
ath00564;51;"1.1.5.3;2.1.1.103;2.1.1.71;2.3.1.15;2.3.1.23;2.3.1.51;2.7.1.32;2.7.1.82;2.7.7.14;2.7.7.41;2.7.8.1;2.7.8.11;2.7.8.29;2.7.8.41;2.7.8.5;3.1.1.32;3.1.1.5;3.1.3.27;3.1.3.4;3.1.3.81;3.1.4.3;3.1.4.46;4.1.1.65;CCT1;DGK2;GPDA2;PLDB1;R00846;R00855;R00856;R01013;R01023;R01026;R01030;R01319;R01470;R02114;R02563;R02817;R03360;R04158;R04520;R04864;R05679;R06870;R06871;R08966;R09944;R10255;R10325;R10331"
ath00330;50;"1.14.11.2;1.2.1.3;1.2.1.88;1.5.1.2;1.5.3.16;1.5.3.17;2.5.1.16;2.7.2.11;3.5.1.4;3.5.1.53;3.5.3.12;4.1.1.19;4.1.1.50;AAT3;BAHL2;NOA1;OAT;PAO1;PIP;R00554;R00559;R00562;R00563;R01155;R01156;R01246;R01253;R01884;R01915;R01990;R01991;R01992;R02280;R02575;R02825;R02894;R03290;R03295;R03296;R04221;R04374;R05053;R08714;R09080;R09082;R09496;R11604;R11625;R11712;R11713"
ath00620;49;"1.1.1.39;1.1.1.40;1.1.1.82;1.1.2.4;1.2.1.3;1.8.1.4;2.3.1.12;2.3.1.9;2.3.3.13;2.3.3.9;2.7.1.40;2.7.9.1;3.1.2.6;4.1.1.31;4.2.1.130;4.2.1.2;4.4.1.5;6.4.1.2;ACS;MDHM1;ODPB1;PCKA;R00198;R00203;R00205;R00211;R00218;R00227;R00319;R00320;R00326;R00344;R00346;R00431;R00704;R00753;R00998;R01019;R01257;R01446;R01447;R01450;R01735;R02527;R03145;R04177;R11074;R11591;R11593"
