Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	common_name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	Experiment	External_Id	Genotype	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	isolation_and_growth_condition	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	plant_developmental_stage	plant_growth_medium	plant_structure	Platform	ReleaseDate	create_date	version	Sample Name	Sample_name	SRA Study	Submitter_Id	Status
ERR4882155	RNA-Seq	199	3425314546	PRJEB41560	SAMEA7637445	1168991481	ESALQ/USP	RB855113	public	run.zq,sra,fastq	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751664	SAMEA7637445	RB855113	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:02:00Z	1	SAMEA7637445	RB855113_R1_L001_D	ERP125354	RB855113_R1_L001_D	DROUGHT
ERR4882162	RNA-Seq	199	4473630610	PRJEB41560	SAMEA7637452	1605409493	ESALQ/USP	RB855113	public	sra,fastq,run.zq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751671	SAMEA7637452	RB855113	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:22:00Z	1	SAMEA7637452	RB855113_R2_L002_D	ERP125354	RB855113_R2_L002_D	DROUGHT
ERR4882164	RNA-Seq	199	3707748659	PRJEB41560	SAMEA7637454	1299453669	ESALQ/USP	RB855113	public	run.zq,sra,fastq	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751673	SAMEA7637454	RB855113	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:16:00Z	1	SAMEA7637454	RB855113_R3_L003_C	ERP125354	RB855113_R3_L003_C	CONTROL
ERR4882173	RNA-Seq	199	4336619075	PRJEB41560	SAMEA7637463	1588855268	ESALQ/USP	RB855113	public	run.zq,fastq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751682	SAMEA7637463	RB855113	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:27:00Z	1	SAMEA7637463	RB855113_R2_L002_C	ERP125354	RB855113_R2_L002_C	CONTROL
ERR4882178	RNA-Seq	199	3359529996	PRJEB41560	SAMEA7637468	1176026963	ESALQ/USP	RB855113	public	fastq,run.zq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751687	SAMEA7637468	RB855113	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T21:40:00Z	1	SAMEA7637468	RB855113_R1_L001_C	ERP125354	RB855113_R1_L001_C	CONTROL
ERR4882183	RNA-Seq	199	3841473890	PRJEB41560	SAMEA7637473	1337591089	ESALQ/USP	RB855113	public	sra,run.zq,fastq	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751692	SAMEA7637473	RB855113	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T21:41:00Z	1	SAMEA7637473	RB855113_R3_L003_D	ERP125354	RB855113_R3_L003_D	DROUGHT
ERR4882149	RNA-Seq	199	4276956982	PRJEB41560	SAMEA7637439	1469951539	ESALQ/USP	RB855536	public	run.zq,fastq,sra	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751658	SAMEA7637439	RB855536	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:20:00Z	1	SAMEA7637439	RB855536_R3_L003_D	ERP125354	RB855536_R3_L003_D	DROUGHT
ERR4882151	RNA-Seq	199	3871151127	PRJEB41560	SAMEA7637441	1323870240	ESALQ/USP	RB855536	public	sra,run.zq,fastq	ncbi,s3,gs	gs.US,ncbi.public,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751660	SAMEA7637441	RB855536	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:18:00Z	1	SAMEA7637441	RB855536_R1_L001_C	ERP125354	RB855536_R1_L001_C	CONTROL
ERR4882165	RNA-Seq	199	4109020584	PRJEB41560	SAMEA7637455	1479482519	ESALQ/USP	RB855536	public	sra,run.zq,fastq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751674	SAMEA7637455	RB855536	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:19:00Z	1	SAMEA7637455	RB855536_R2_L002_D	ERP125354	RB855536_R2_L002_D	DROUGHT
ERR4882167	RNA-Seq	199	3508121082	PRJEB41560	SAMEA7637457	1205206320	ESALQ/USP	RB855536	public	fastq,run.zq,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751676	SAMEA7637457	RB855536	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:19:00Z	1	SAMEA7637457	RB855536_R1_L001_D	ERP125354	RB855536_R1_L001_D	DROUGHT
