Run	Status	Replicate	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	Genotype	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	Tissue
SRR10484998	MILD TREATMENT	1	sibling	RNA-Seq	298	13771379614	PRJNA590281	SAMN13324058	Plant	5360482488	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-4	run.zq,fastq,sra	s3,ncbi,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174774	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T10	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T10	SRP230374	leaf
SRR10484999	SERIOUS RECOVERY	3	sibling	RNA-Seq	300	12290658296	PRJNA590281	SAMN13324046	Plant	4811329233	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-27	fastq,sra,run.zq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174773	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T81	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:26:00Z	1	T81	SRP230374	leaf
SRR10485000	ONSET	3	sibling	RNA-Seq	298	13116512048	PRJNA590281	SAMN13324051	Plant	4955114557	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-3	run.zq,sra,fastq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174772	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T09	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T09	SRP230374	leaf
SRR10485001	SERIOUS RECOVERY	2	sibling	RNA-Seq	300	11964345860	PRJNA590281	SAMN13324105	Plant	4680270531	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-26	run.zq,sra,fastq	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174771	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T80	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T80	SRP230374	leaf
SRR10485002	SERIOUS RECOVERY	1	sibling	RNA-Seq	300	12971633682	PRJNA590281	SAMN13324076	Plant	5095178515	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-25	run.zq,fastq,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174770	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T79	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:20:00Z	1	T79	SRP230374	leaf
SRR10485003	SERIOUS RECOVERY	3	sibling	RNA-Seq	299	10474698084	PRJNA590281	SAMN13324093	Plant	4087955321	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-27	sra,fastq,run.zq	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174769	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T78	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T78	SRP230374	leaf
SRR10485004	SERIOUS RECOVERY	2	sibling	RNA-Seq	300	12836751220	PRJNA590281	SAMN13324029	Plant	5003187659	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-26	run.zq,sra,fastq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174768	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T77	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:33:00Z	1	T77	SRP230374	leaf
SRR10485005	SERIOUS RECOVERY	1	sibling	RNA-Seq	300	11832729794	PRJNA590281	SAMN13324064	Plant	4586864875	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-25	fastq,run.zq,sra	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174767	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T76	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T76	SRP230374	leaf
SRR10485006	SERIOUS RECOVERY	3	sibling	RNA-Seq	298	13895276220	PRJNA590281	SAMN13324090	Plant	5414583822	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-27	sra,fastq,run.zq	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174766	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T75	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:22:00Z	1	T75	SRP230374	leaf
SRR10485007	SERIOUS RECOVERY	2	sibling	RNA-Seq	300	10608173710	PRJNA590281	SAMN13324092	Plant	4235697964	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-26	fastq,sra,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174765	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T74	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:15:00Z	1	T74	SRP230374	leaf
