FileName	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Ecotype	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Genotype	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	Tissue	Stat/Treat	Status	Treatment
SRR10807933	5 months	RNA-Seq	302	14531232830	PRJNA598295	SAMN13702610	Plant	4275991978	GUANGXI UNIVERSITY	public	GT21	run.zq,sra,fastq	s3,ncbi,gs	ncbi.public,gs.US,s3.us-east-1	not collected	not applicable	SRX7481691	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D1T2	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T07:02:00Z	1	D1T2	SRP239157	leaf	Drought1 T2	Drought	T2
SRR10807934	5 months	RNA-Seq	302	13876209628	PRJNA598295	SAMN13702609	Plant	4081579297	GUANGXI UNIVERSITY	public	GT21	sra,fastq,run.zq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	not collected	not applicable	SRX7481690	China	Asia	China:NanNing	HiSeq X Ten	not applicable	W3T2	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T05:42:00Z	1	W3T2	SRP239157	leaf	Water3 T2	Water	T2
SRR10807935	5 months	RNA-Seq	302	13691279928	PRJNA598295	SAMN13702608	Plant	4020367922	GUANGXI UNIVERSITY	public	GT21	sra,run.zq,fastq	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.US	not collected	not applicable	SRX7481689	China	Asia	China:NanNing	HiSeq X Ten	not applicable	W2T2	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T05:52:00Z	1	W2T2	SRP239157	leaf	Water2 T2	Water	T2
SRR10807936	5 months	RNA-Seq	302	14066472648	PRJNA598295	SAMN13702607	Plant	4205902832	GUANGXI UNIVERSITY	public	GT21	sra,run.zq,fastq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	not collected	not applicable	SRX7481688	China	Asia	China:NanNing	HiSeq X Ten	not applicable	W1T2	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T06:00:00Z	1	W1T2	SRP239157	leaf	Water1 T2	Water	T2
SRR10807937	5 months	RNA-Seq	302	14203138218	PRJNA598295	SAMN13702606	Plant	4183223986	GUANGXI UNIVERSITY	public	GT21	sra,fastq,run.zq	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	not collected	not applicable	SRX7481687	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D3T1	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T05:54:00Z	1	D3T1	SRP239157	leaf	Drought3 T1	Drought	T1
SRR10807938	5 months	RNA-Seq	302	13753536926	PRJNA598295	SAMN13702605	Plant	4071435206	GUANGXI UNIVERSITY	public	GT21	sra,run.zq,fastq	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	not collected	not applicable	SRX7481686	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D2T1	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T07:27:00Z	1	D2T1	SRP239157	leaf	Drought2 T1	Drought	T1
SRR10807939	5 months	RNA-Seq	302	13128352532	PRJNA598295	SAMN13702604	Plant	3922671535	GUANGXI UNIVERSITY	public	GT21	fastq,sra,run.zq	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.US	not collected	not applicable	SRX7481685	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D1T1	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T06:10:00Z	1	D1T1	SRP239157	leaf	Drought1 T1	Drought	T1
SRR10807940	5 months	RNA-Seq	302	14882502620	PRJNA598295	SAMN13702624	Plant	4412789812	GUANGXI UNIVERSITY	public	GT21	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	not collected	not applicable	SRX7481684	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D3TC	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T07:15:00Z	1	D3TC	SRP239157	leaf	Drought3 TC	Drought	TC
SRR10807941	5 months	RNA-Seq	302	15508439900	PRJNA598295	SAMN13702623	Plant	4613391167	GUANGXI UNIVERSITY	public	GT21	run.zq,fastq,sra	gs,s3,ncbi	gs.US,s3.us-east-1,ncbi.public	not collected	not applicable	SRX7481683	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D2TC	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T07:04:00Z	1	D2TC	SRP239157	leaf	Drought2 TC	Drought	TC
SRR10807942	5 months	RNA-Seq	302	14149347488	PRJNA598295	SAMN13702622	Plant	4171479619	GUANGXI UNIVERSITY	public	GT21	sra,run.zq,fastq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	not collected	not applicable	SRX7481682	China	Asia	China:NanNing	HiSeq X Ten	not applicable	D1TC	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T06:59:00Z	1	D1TC	SRP239157	leaf	Drought1 TC	Drought	TC
SRR10807943	5 months	RNA-Seq	302	14899789100	PRJNA598295	SAMN13702621	Plant	4387524521	GUANGXI UNIVERSITY	public	GT21	run.zq,fastq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	not collected	not applicable	SRX7481681	China	Asia	China:NanNing	HiSeq X Ten	not applicable	W3TC	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum	ILLUMINA	2020-07-30T00:00:00Z	2019-12-31T06:07:00Z	1	W3TC	SRP239157	leaf	Water3 TC	Water	TC
