Run	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Ecotype	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	ID	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	Tissue	Treatment	Genotype	Status
SRR16709559	4 / 5 leaf stage	RNA-Seq	299	8943770738	PRJNA776107	SAMN22567551	Plant	2805855413	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	sra,fastq,run.zq	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.US	not applicable	not applicable	SRX12909959	China	Asia	China:Fuzhou	10	Illumina HiSeq 2500	young leaves	B10	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:31:00Z	1	B10	SRP344295	leaf	drought for 16 hours	Saccharum officinarum	16
SRR16709560	4 / 5 leaf stage	RNA-Seq	299	9514873046	PRJNA776107	SAMN22567550	Plant	2996982146	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	sra,fastq,run.zq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	not applicable	not applicable	SRX12909958	China	Asia	China:Fuzhou	9	Illumina HiSeq 2500	young leaves	B09	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:34:00Z	1	B09	SRP344295	leaf	drought for 8 hours	Saccharum officinarum	8
SRR16709561	4 / 5 leaf stage	RNA-Seq	299	9094043790	PRJNA776107	SAMN22567549	Plant	2845124783	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	sra,run.zq,fastq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	not applicable	not applicable	SRX12909957	China	Asia	China:Fuzhou	8	Illumina HiSeq 2500	young leaves	B08	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:33:00Z	1	B08	SRP344295	leaf	drought for 8 hours	Saccharum officinarum	8
SRR16709562	4 / 5 leaf stage	RNA-Seq	299	8699720348	PRJNA776107	SAMN22567548	Plant	2750558532	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	fastq,run.zq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	not applicable	not applicable	SRX12909956	China	Asia	China:Fuzhou	7	Illumina HiSeq 2500	young leaves	B07	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:32:00Z	1	B07	SRP344295	leaf	drought for 8 hours	Saccharum officinarum	8
SRR16709563	4 / 5 leaf stage	RNA-Seq	299	8167430410	PRJNA776107	SAMN22567547	Plant	2586317709	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	sra,fastq,run.zq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	not applicable	not applicable	SRX12909955	China	Asia	China:Fuzhou	6	Illumina HiSeq 2500	young leaves	B06	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:29:00Z	1	B06	SRP344295	leaf	drought for 4 hours	Saccharum officinarum	4
SRR16709564	4 / 5 leaf stage	RNA-Seq	299	9239676580	PRJNA776107	SAMN22567546	Plant	2901627100	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	fastq,run.zq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	not applicable	not applicable	SRX12909954	China	Asia	China:Fuzhou	5	Illumina HiSeq 2500	young leaves	B05	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:36:00Z	1	B05	SRP344295	leaf	drought for 4 hours	Saccharum officinarum	4
SRR16709565	4 / 5 leaf stage	RNA-Seq	299	8881625290	PRJNA776107	SAMN22567545	Plant	2802124343	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	run.zq,sra,fastq	gs,s3,ncbi	gs.US,s3.us-east-1,ncbi.public	not applicable	not applicable	SRX12909953	China	Asia	China:Fuzhou	4	Illumina HiSeq 2500	young leaves	B04	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:34:00Z	1	B04	SRP344295	leaf	drought for 4 hours	Saccharum officinarum	4
SRR16709566	4 / 5 leaf stage	RNA-Seq	299	11207653662	PRJNA776107	SAMN22567571	Plant	3539211626	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	fastq,sra,run.zq	s3,ncbi,gs	gs.US,s3.us-east-1,ncbi.public	not applicable	not applicable	SRX12909952	China	Asia	China:Fuzhou	30	Illumina HiSeq 2500	young leaves	R15	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:39:00Z	1	R15	SRP344295	leaf	drought for 32 hours	Saccharum officinarum	32
SRR16709567	4 / 5 leaf stage	RNA-Seq	299	10240636672	PRJNA776107	SAMN22567570	Plant	3231157928	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	sra,run.zq,fastq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	not applicable	not applicable	SRX12909951	China	Asia	China:Fuzhou	29	Illumina HiSeq 2500	young leaves	R14	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:34:00Z	1	R14	SRP344295	leaf	drought for 32 hours	Saccharum officinarum	32
SRR16709568	4 / 5 leaf stage	RNA-Seq	299	9506112110	PRJNA776107	SAMN22567569	Plant	3000346341	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	public	Saccharum officinarum L.	fastq,sra,run.zq	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	not applicable	not applicable	SRX12909950	China	Asia	China:Fuzhou	28	Illumina HiSeq 2500	young leaves	R13	PAIRED	PCR	TRANSCRIPTOMIC	Saccharum officinarum	ILLUMINA	2022-05-17T00:00:00Z	2021-11-07T09:36:00Z	1	R13	SRP344295	leaf	drought for 32 hours	Saccharum officinarum	32
