Run	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	Genotype	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Ecotype	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Status	Conditions	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	Tissue
SRR25018562	3 months	RNA-Seq	298	9715876460	PRJNA975299	SAMN35322545	Plant	3813274462	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	run.zq,fastq,sra	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	seedling	not applicable	SRX20773719	China	Asia	China: Guangxi	BGISEQ-500	D4	F172 mild drought stress 4 days	F172-B3	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:38:00Z	1	F172-B	SRP445706	leaf
SRR25018563	3 months	RNA-Seq	297	9072444746	PRJNA975299	SAMN35322545	Plant	3557202808	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	fastq,run.zq,sra	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	seedling	not applicable	SRX20773718	China	Asia	China: Guangxi	BGISEQ-500	D4	F172 mild drought stress 4 days	F172-B2	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:37:00Z	1	F172-B	SRP445706	leaf
SRR25018570	3 months	RNA-Seq	298	10079134730	PRJNA975299	SAMN35322545	Plant	3978307263	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	sra,fastq,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	seedling	not applicable	SRX20773711	China	Asia	China: Guangxi	BGISEQ-500	D4	F172 mild drought stress 4 days	F172-B1	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:44:00Z	1	F172-B	SRP445706	leaf
SRR25018584	3 months	RNA-Seq	298	12559132582	PRJNA975299	SAMN35322549	Plant	4877447005	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	sra,fastq,run.zq	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	seedling	not applicable	SRX20773697	China	Asia	China: Guangxi	BGISEQ-500	D5	F172 moderate drought stress 5 days	F172-C3	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:48:00Z	1	F172-C	SRP445706	leaf
SRR25018585	3 months	RNA-Seq	298	10136899752	PRJNA975299	SAMN35322549	Plant	3965450359	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	fastq,sra,run.zq	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	seedling	not applicable	SRX20773696	China	Asia	China: Guangxi	BGISEQ-500	D5	F172 moderate drought stress 5 days	F172-C2	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:44:00Z	1	F172-C	SRP445706	leaf
SRR25018586	3 months	RNA-Seq	298	8777677800	PRJNA975299	SAMN35322549	Plant	3592302064	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	run.zq,fastq,sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	seedling	not applicable	SRX20773695	China	Asia	China: Guangxi	BGISEQ-500	D5	F172 moderate drought stress 5 days	F172-C1	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:38:00Z	1	F172-C	SRP445706	leaf
SRR25018571	3 months	RNA-Seq	298	9270407808	PRJNA975299	SAMN35322553	Plant	3661285616	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	run.zq,fastq,sra	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	seedling	not applicable	SRX20773710	China	Asia	China: Guangxi	BGISEQ-500	D7	F172 severe drought stress 7 days	F172-D3	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:34:00Z	1	F172-D	SRP445706	leaf
SRR25018572	3 months	RNA-Seq	298	11872140664	PRJNA975299	SAMN35322553	Plant	4662125411	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	F172	sra,fastq,run.zq	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	seedling	not applicable	SRX20773709	China	Asia	China: Guangxi	BGISEQ-500	D7	F172 severe drought stress 7 days	F172-D2	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:41:00Z	1	F172-D	SRP445706	leaf
SRR25018581	3 months	RNA-Seq	298	10017814814	PRJNA975299	SAMN35322544	Plant	3958609008	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	GT31	run.zq,sra,fastq	s3,ncbi,gs	ncbi.public,gs.US,s3.us-east-1	seedling	not applicable	SRX20773700	China	Asia	China: Guangxi	BGISEQ-500	D4	GT31 mild drought stress 4 days	GT31-B3	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:33:00Z	1	GT31-B	SRP445706	leaf
SRR25018592	3 months	RNA-Seq	298	11288802362	PRJNA975299	SAMN35322544	Plant	4457818005	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	GT31	sra,fastq,run.zq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	seedling	not applicable	SRX20773689	China	Asia	China: Guangxi	BGISEQ-500	D4	GT31 mild drought stress 4 days	GT31-B2	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:57:00Z	1	GT31-B	SRP445706	leaf
SRR25018593	3 months	RNA-Seq	298	13771379614	PRJNA975299	SAMN35322544	Plant	5414650111	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	GT31	sra,fastq,run.zq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	seedling	not applicable	SRX20773688	China	Asia	China: Guangxi	BGISEQ-500	D4	GT31 mild drought stress 4 days	GT31-B1	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T12:00:00Z	1	GT31-B	SRP445706	leaf
SRR25018587	3 months	RNA-Seq	298	9284980860	PRJNA975299	SAMN35322548	Plant	3649184579	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	GT31	run.zq,fastq,sra	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	seedling	not applicable	SRX20773694	China	Asia	China: Guangxi	BGISEQ-500	D5	GT31 moderate drought stress 5 days	GT31-C3	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T17:35:00Z	1	GT31-C	SRP445706	leaf
SRR25018588	3 months	RNA-Seq	298	9721882370	PRJNA975299	SAMN35322548	Plant	3857142790	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	GT31	run.zq,sra,fastq	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	seedling	not applicable	SRX20773693	China	Asia	China: Guangxi	BGISEQ-500	D5	GT31 moderate drought stress 5 days	GT31-C2	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:46:00Z	1	GT31-C	SRP445706	leaf
SRR25018589	3 months	RNA-Seq	298	11226207762	PRJNA975299	SAMN35322548	Plant	4417313845	GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	not collected	public	GT31	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	seedling	not applicable	SRX20773692	China	Asia	China: Guangxi	BGISEQ-500	D5	GT31 moderate drought stress 5 days	GT31-C1	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Saccharum	BGISEQ	2023-07-28T00:00:00Z	2023-06-27T11:50:00Z	1	GT31-C	SRP445706	leaf
